車牌,日期,路線,0:去|1:返,移動距離,開始時間,結束時間,行駛時間,點位數量
128-FX,20171017,15,0,8.88,20171017201039,20171017203940,0.48,21
128-FX,20171017,15,1,9.05,20171017220134,20171017223241,0.52,25
128-FX,20171018,5,0,18.52,20171018080745,20171018091904,1.19,20
128-FX,20171018,5,1,18.9,20171018093040,20171018103036,1,47
128-FX,20171018,5,0,29.2,20171018103945,20171018123450,1.92,95
128-FX,20171018,5,1,13.21,20171018123633,20171018132946,0.89,54
128-FX,20171018,5,0,21.23,20171018133920,20171018145343,1.24,75
128-FX,20171018,5,1,21.34,20171018152424,20171018164349,1.32,80
128-FX,20171018,5,0,21.95,20171018171441,20171018194738,2.55,100
128-FX,20171018,5,1,13.49,20171018194930,20171018203546,0.77,45
128-FX,20171019,5,0,18.5,20171019063537,20171019075051,1.25,76
128-FX,20171019,5,1,20.71,20171019082135,20171019093550,1.24,75
128-FX,20171019,5,0,18.35,20171019163028,20171019174539,1.25,76
128-FX,20171019,5,1,13.69,20171019180939,20171019185208,0.71,44
128-FX,20171019,5,0,20.95,20171019201555,20171019211644,1.01,60
128-FX,20171019,5,1,20.68,20171019213939,20171019223538,0.93,57
128-FX,20171020,20,1,22.44,20171020062747,20171020073036,1.05,64
128-FX,20171020,5,1,0,20171020073548,20171020073548,0,1
128-FX,20171020,5,0,14.86,20171020102451,20171020114047,1.27,77
128-FX,20171020,5,1,19.69,20171020140647,20171020152146,1.25,76
128-FX,20171020,5,0,14.76,20171020152947,20171020164534,1.26,76
128-FX,20171020,5,1,17.07,20171020170446,20171020182346,1.32,80
128-FX,20171020,5,0,13.99,20171020182736,20171020193553,1.14,69
128-FX,20171020,5,1,19.16,20171020200037,20171020205951,0.99,60
128-FX,20171020,5,0,7.91,20171020212737,20171020215338,0.43,27
128-FX,20171021,88,0,16.49,20171021090233,20171021100032,0.97,59
128-FX,20171021,88,1,16.82,20171021103127,20171021113447,1.06,64
128-FX,20171021,88,0,16.21,20171021120238,20171021130736,1.08,64
128-FX,20171021,88,1,16.45,20171021133052,20171021143046,1,56
128-FX,20171021,88,0,15.52,20171021145944,20171021161045,1.18,52
128-FX,20171021,88,1,16.64,20171021163047,20171021173644,1.1,67
128-FX,20171021,88,0,15.94,20171021175939,20171021190844,1.15,70
128-FX,20171021,88,1,16.43,20171021193151,20171021202856,0.95,58
128-FX,20171022,5,0,17,20171022064547,20171022073545,0.83,51
128-FX,20171022,5,1,15.31,20171022081535,20171022090540,0.83,51
128-FX,20171022,5,0,21.68,20171022100047,20171022111741,1.28,78
128-FX,20171022,5,1,21.06,20171022120535,20171022132356,1.31,79
128-FX,20171022,14,0,6.67,20171022161921,20171022165235,0.55,34
128-FX,20171022,14,1,6.62,20171022165452,20171022172343,0.48,30
128-FX,20171022,5,1,17.58,20171022183052,20171022195438,1.4,85
128-FX,20171022,5,0,17.63,20171022200046,20171022210354,1.05,64
128-FX,20171022,5,1,16.29,20171022213042,20171022221949,0.82,50
128-FX,20171023,2,0,0.7,20171023082142,20171023082344,0.03,3
128-FX,20171023,2,1,13.67,20171023082446,20171023091846,0.9,55
128-FX,20171023,2,0,14.95,20171023095045,20171023104444,0.9,54
128-FX,20171023,2,1,14.48,20171023115143,20171023124554,0.9,55
128-FX,20171023,2,0,14.89,20171023133041,20171023142746,0.95,58
128-FX,20171023,2,1,15.01,20171023153036,20171023162801,0.96,57
128-FX,20171023,2,0,11.49,20171023165933,20171023180050,1.02,62
128-FX,20171023,2,1,19.5,20171023183844,20171023193645,0.97,56
128-FX,20171023,2,0,15.26,20171023202031,20171023211439,0.9,55
128-FX,20171024,20,1,23.42,20171024060745,20171024070925,1.03,63
128-FX,20171024,20,0,23.01,20171024075944,20171024091740,1.3,75
128-FX,20171024,20,1,22.69,20171024095145,20171024105733,1.1,67
128-FX,20171024,20,0,23.4,20171024115956,20171024130459,1.08,65
128-FX,20171024,20,1,22.32,20171024135139,20171024145628,1.08,66
128-FX,20171024,20,0,23.3,20171024163046,20171024175348,1.38,84
128-FX,20171024,20,1,23,20171024181550,20171024192837,1.21,74
128-FX,20171024,20,0,22.92,20171024204451,20171024214548,1.02,61
128-FX,20171026,3,1,14.2,20171026104556,20171026114344,0.96,59
128-FX,20171026,3,0,15.01,20171026120147,20171026130452,1.05,65
128-FX,20171026,3,1,13.69,20171026131651,20171026140528,0.81,48
128-FX,20171026,3,0,14.38,20171026150840,20171026161237,1.07,61
128-FX,20171026,3,1,13.55,20171026162242,20171026171728,0.91,56
128-FX,20171026,3,0,15.01,20171026180123,20171026191146,1.17,66
128-FX,20171026,3,1,13.82,20171026200142,20171026205339,0.87,51
128-FX,20171026,3,0,15.18,20171026211627,20171026222037,1.07,65
128-FX,20171028,15,1,9.72,20171028065644,20171028073430,0.63,33
128-FX,20171028,15,0,9.2,20171028073532,20171028080349,0.47,29
128-FX,20171028,15,1,9.43,20171028091755,20171028100249,0.75,46
128-FX,20171028,15,0,9.36,20171028100732,20171028104149,0.57,34
128-FX,20171028,15,1,9.26,20171028105638,20171028113751,0.69,38
128-FX,20171028,15,0,9.37,20171028114236,20171028121842,0.6,37
128-FX,20171028,15,1,9.51,20171028131633,20171028135143,0.59,36
128-FX,20171028,15,0,9.77,20171028135949,20171028144155,0.7,43
128-FX,20171028,15,1,9.69,20171028160041,20171028163643,0.6,35
128-FX,20171028,15,0,10.64,20171028164035,20171028172410,0.73,43
128-FX,20171028,15,1,9.91,20171028173446,20171028181544,0.68,42
128-FX,20171028,15,0,9.7,20171028182448,20171028190318,0.64,38
128-FX,20171028,15,1,9.87,20171028192830,20171028200538,0.62,38
128-FX,20171028,15,0,9.38,20171028201042,20171028203831,0.46,29
128-FX,20171028,15,1,9.15,20171028215942,20171028222743,0.47,29
128-FX,20171029,11,0,21.12,20171029061552,20171029070739,0.86,53
128-FX,20171029,11,1,22.06,20171029072737,20171029083235,1.08,63
128-FX,20171029,11,0,20.64,20171029121535,20171029132119,1.1,64
128-FX,20171029,11,1,22.64,20171029135135,20171029145945,1.14,64
128-FX,20171029,11,0,22.23,20171029152650,20171029163243,1.1,64
128-FX,20171029,11,1,22.55,20171029170139,20171029180817,1.11,67
128-FX,20171029,11,0,22.84,20171029184445,20171029195044,1.1,67
128-FX,20171029,11,1,16.99,20171029201824,20171029210956,0.86,51
128-FX,20171030,5,0,20.1,20171030060450,20171030074656,1.7,64
128-FX,20171030,5,1,20.14,20171030074741,20171030095744,2.17,71
128-FX,20171030,5,0,23.68,20171030100237,20171030122553,2.39,84
128-FX,20171030,5,1,13.72,20171030122635,20171030133424,1.13,50
128-FX,20171030,5,0,13.04,20171030133547,20171030142252,0.78,48
128-FX,20171030,5,1,18.3,20171030151441,20171030165641,1.7,71
128-FX,20171030,5,0,16.08,20171030165742,20171030182130,1.4,83
128-FX,20171030,5,1,16.38,20171030185941,20171030195629,0.95,57
367-FT,20171017,10,1,19.01,20171017061040,20171017071246,1.04,49
367-FT,20171017,10,0,22.47,20171017072258,20171017081852,0.93,57
367-FT,20171017,10,1,13.94,20171017090650,20171017094943,0.71,43
367-FT,20171017,10,0,22.55,20171017110135,20171017115951,0.97,54
367-FT,20171017,10,1,21.34,20171017123042,20171017133042,1,51
367-FT,20171017,10,0,22.8,20171017143148,20171017152850,0.95,50
367-FT,20171017,10,1,21.03,20171017160142,20171017165648,0.92,50
367-FT,20171017,20,1,2.06,20171017185947,20171017190631,0.11,5
367-FT,20171017,20,0,18.9,20171017190833,20171017204933,1.68,46
367-FT,20171017,20,1,6.03,20171017205051,20171017210440,0.23,14
367-FT,20171018,20,1,13.92,20171018071250,20171018080849,0.93,17
367-FT,20171018,20,0,19.5,20171018090452,20171018100152,0.95,29
367-FT,20171018,20,1,22.62,20171018104951,20171018130129,2.19,61
367-FT,20171018,20,0,20.97,20171018130230,20171018135640,0.9,55
367-FT,20171018,20,1,23.78,20171018145435,20171018170322,2.15,101
367-FT,20171018,20,0,21.07,20171018170442,20171018180837,1.07,62
367-FT,20171018,20,1,22.75,20171018190947,20171018212941,2.33,61
367-FT,20171018,20,0,3.33,20171018213043,20171018213848,0.13,9
367-FT,20171019,10,0,22.98,20171019083435,20171019093551,1.02,61
367-FT,20171019,10,1,3.7,20171019095852,20171019100647,0.13,4
367-FT,20171019,10,0,5.34,20171019101047,20171019102731,0.28,18
367-FT,20171019,10,1,9.73,20171019103046,20171019105732,0.45,28
367-FT,20171019,10,0,32.73,20171019120952,20171019133144,1.36,83
367-FT,20171019,10,1,23.15,20171019133846,20171019143529,0.95,58
367-FT,20171019,10,0,22.77,20171019172041,20171019184136,1.35,75
367-FT,20171019,10,1,23.32,20171019184846,20171019194842,1,48
367-FT,20171019,0右,0,16.09,20171019204920,20171019231147,2.37,60
367-FT,20171020,19,1,7.57,20171020060940,20171020062651,0.29,18
367-FT,20171020,19,0,14.98,20171020064444,20171020072935,0.75,46
367-FT,20171020,19,1,15.6,20171020114432,20171020123743,0.89,52
367-FT,20171020,19,0,0,20171020130932,20171020130932,0,1
367-FT,20171020,19,1,0,20171020131032,20171020131032,0,1
367-FT,20171020,19,0,14.61,20171020131136,20171020143448,1.39,44
367-FT,20171020,19,1,15.01,20171020143524,20171020152752,0.87,53
367-FT,20171020,19,0,14.59,20171020155922,20171020165646,0.96,58
367-FT,20171020,19,1,15.44,20171020171456,20171020182442,1.16,71
367-FT,20171020,19,0,15.96,20171020185434,20171020195031,0.93,56
367-FT,20171021,20,1,24.77,20171021062538,20171021072050,0.92,57
367-FT,20171021,6,1,17.6,20171021100448,20171021111541,1.18,72
367-FT,20171021,6,0,14.75,20171021120445,20171021131041,1.1,66
367-FT,20171021,6,1,11.72,20171021143439,20171021153044,0.93,57
367-FT,20171021,6,0,16.86,20171021161439,20171021173046,1.27,77
367-FT,20171021,6,1,16.85,20171021173943,20171021184842,1.15,70
367-FT,20171022,20,0,0,20171022062458,20171022062458,0,1
367-FT,20171022,20,1,21.96,20171022062538,20171022071129,0.76,47
367-FT,20171022,6,1,17.09,20171022100452,20171022110530,1.01,62
367-FT,20171022,6,0,14.29,20171022120658,20171022143436,2.46,63
367-FT,20171022,6,1,14.86,20171022143537,20171022153321,0.96,59
367-FT,20171022,6,0,16.07,20171022161446,20171022172041,1.1,67
367-FT,20171022,6,1,18.33,20171022173928,20171022185256,1.22,74
367-FT,20171024,19,1,7.89,20171024095748,20171024105442,0.95,20
367-FT,20171024,19,0,14.33,20171024105544,20171024115131,0.93,57
367-FT,20171024,19,1,15.13,20171024121908,20171024130557,0.78,47
367-FT,20171024,19,0,15.62,20171024135540,20171024144549,0.84,51
367-FT,20171024,19,1,14.69,20171024151951,20171024161355,0.9,53
367-FT,20171024,19,0,15.33,20171024164450,20171024174240,0.96,57
367-FT,20171024,20,0,1.42,20171024185928,20171024190401,0.08,6
367-FT,20171025,19,0,7.08,20171025054524,20171025060155,0.28,17
367-FT,20171025,19,1,18.24,20171025060943,20171025071653,1.12,67
367-FT,20171025,19,0,19.19,20171025071754,20171025083948,1.37,60
367-FT,20171025,19,1,13.29,20171025084123,20171025093011,0.81,42
367-FT,20171025,19,0,15.26,20171025100946,20171025110339,0.9,55
367-FT,20171025,0左,0,0,20171025120953,20171025120953,0,1
367-FT,20171025,0左,1,0.77,20171025121053,20171025121338,0.05,4
367-FT,20171025,0左,0,0.24,20171025121436,20171025121638,0.03,3
367-FT,20171025,0左,1,0,20171025121738,20171025121738,0,1
367-FT,20171025,0左,0,0,20171025121839,20171025121839,0,1
367-FT,20171025,0左,1,0.76,20171025121951,20171025122242,0.05,4
367-FT,20171025,0左,0,0,20171025122343,20171025122343,0,1
367-FT,20171025,0左,1,3.03,20171025122446,20171025123243,0.13,9
367-FT,20171025,0左,0,0,20171025123341,20171025123341,0,1
367-FT,20171025,0左,1,1.06,20171025123455,20171025123845,0.06,5
367-FT,20171025,0左,0,0.26,20171025123946,20171025124047,0.02,2
367-FT,20171025,0左,1,0,20171025124135,20171025124135,0,1
367-FT,20171025,0左,0,0.08,20171025124249,20171025124350,0.02,2
367-FT,20171025,0左,1,0,20171025124440,20171025124440,0,1
367-FT,20171025,0左,0,0,20171025124531,20171025124531,0,1
367-FT,20171025,0左,1,0.41,20171025124654,20171025124753,0.02,2
367-FT,20171025,0左,0,0,20171025124853,20171025124853,0,1
367-FT,20171025,0左,1,0.32,20171025124954,20171025125038,0.01,2
367-FT,20171025,0左,0,0,20171025125136,20171025125136,0,1
367-FT,20171025,0左,1,0,20171025125243,20171025125243,0,1
367-FT,20171025,19,0,7.44,20171025172951,20171025175842,0.48,30
367-FT,20171025,19,1,15.87,20171025175942,20171025194038,1.68,59
367-FT,20171025,19,0,14.03,20171025194139,20171025210945,1.47,43
367-FT,20171025,19,1,13.84,20171025211042,20171025215848,0.8,48
367-FT,20171026,19,1,7.12,20171026061445,20171026063136,0.28,18
367-FT,20171026,19,0,15.59,20171026064444,20171026073046,0.77,47
367-FT,20171026,19,1,14.77,20171026114445,20171026124038,0.93,53
367-FT,20171026,19,0,14.99,20171026130932,20171026135500,0.76,45
367-FT,20171026,19,1,15.13,20171026143448,20171026152647,0.87,45
367-FT,20171026,19,0,14.96,20171026155944,20171026164906,0.82,47
367-FT,20171026,19,1,15.54,20171026171427,20171026184940,1.59,89
367-FT,20171026,19,0,15.55,20171026185450,20171026194751,0.88,54
367-FT,20171026,19,1,0,20171026212820,20171026212820,0,1
367-FT,20171027,15,1,7.26,20171027062350,20171027064332,0.33,21
367-FT,20171027,14,0,6.87,20171027070644,20171027073042,0.4,25
367-FT,20171027,14,1,5.69,20171027073755,20171027075641,0.31,20
367-FT,20171027,14,0,6.33,20171027082243,20171027084508,0.37,23
367-FT,20171027,14,1,6.8,20171027084822,20171027091142,0.39,24
367-FT,20171027,14,0,6.72,20171027101956,20171027104243,0.38,24
367-FT,20171027,14,1,5.99,20171027104646,20171027110741,0.35,22
367-FT,20171027,14,0,2.04,20171027121744,20171027122358,0.1,7
367-FT,20171027,14,1,6.16,20171027122539,20171027124838,0.38,24
367-FT,20171027,14,0,18.04,20171027141237,20171027164445,2.54,54
367-FT,20171027,14,1,6.77,20171027164925,20171027171347,0.41,25
367-FT,20171027,14,0,7.02,20171027173738,20171027180746,0.5,31
367-FT,20171027,14,1,7.56,20171027180943,20171027191052,1.02,34
367-FT,20171027,14,0,4.86,20171027191336,20171027193201,0.31,20
367-FT,20171028,9,1,9.15,20171028062145,20171028063742,0.27,17
367-FT,20171028,9,0,10.01,20171028065647,20171028072249,0.43,27
367-FT,20171028,9,1,28.03,20171028075943,20171028112534,3.43,53
367-FT,20171028,9,0,9.35,20171028113237,20171028115556,0.39,24
367-FT,20171028,9,1,10.02,20171028120051,20171028122739,0.45,28
367-FT,20171028,14,0,6.65,20171028125941,20171028132539,0.43,24
367-FT,20171028,14,1,6.09,20171028132842,20171028135138,0.38,24
367-FT,20171028,9,0,10.43,20171028142952,20171028145530,0.43,27
367-FT,20171028,9,1,10.99,20171028145846,20171028162654,1.47,30
367-FT,20171028,9,0,9.98,20171028163029,20171028165749,0.46,28
367-FT,20171028,9,1,10.23,20171028170049,20171028174033,0.66,41
367-FT,20171028,9,0,10.15,20171028175738,20171028182859,0.52,32
367-FT,20171029,19,1,7.6,20171029055237,20171029061451,0.37,23
367-FT,20171029,19,0,15.02,20171029061954,20171029070841,0.81,50
367-FT,20171029,19,1,14.95,20171029073940,20171029082742,0.8,45
367-FT,20171029,19,0,15.42,20171029092446,20171029105954,1.59,47
367-FT,20171029,19,1,14.8,20171029110034,20171029115439,0.9,49
367-FT,20171029,19,0,14.8,20171029122439,20171029132049,0.94,54
367-FT,20171029,19,1,14.91,20171029134934,20171029143804,0.81,46
367-FT,20171029,19,0,0,20171029151437,20171029151437,0,1
367-FT,20171029,19,1,0,20171029151540,20171029151540,0,1
367-FT,20171029,19,0,15.34,20171029151638,20171029170521,1.81,45
367-FT,20171030,10,0,23.14,20171030061051,20171030070649,0.93,57
367-FT,20171030,10,1,23.8,20171030071746,20171030081836,1.01,62
367-FT,20171030,0右,0,27.1,20171030095944,20171030124533,2.76,88
367-FT,20171030,0左,1,0.52,20171030144443,20171030144544,0.02,2
367-FT,20171030,0左,0,0,20171030144645,20171030144645,0,1
367-FT,20171030,0左,1,1.08,20171030144733,20171030144947,0.04,3
367-FT,20171030,0左,0,0,20171030145048,20171030145048,0,1
367-FT,20171030,0左,1,0,20171030145149,20171030145149,0,1
367-FT,20171030,10,0,24.02,20171030155941,20171030170124,1.03,63
367-FT,20171030,10,1,24.4,20171030170641,20171030181135,1.08,66
367-FT,20171030,10,0,23.34,20171030183238,20171030193444,1.04,61
367-FT,20171030,10,1,23.49,20171030201145,20171030211340,1.03,63
409-FK,20171017,11,1,22.89,20171017061048,20171017073534,1.41,72
409-FK,20171017,11,0,23.45,20171017073736,20171017091043,1.55,93
409-FK,20171017,11,1,23.34,20171017091553,20171017102045,1.08,66
409-FK,20171017,11,0,22.9,20171017152259,20171017163517,1.21,64
409-FK,20171017,11,1,19.65,20171017170159,20171017180752,1.1,50
409-FK,20171017,11,0,23.04,20171017184233,20171017195141,1.15,58
409-FK,20171017,11,1,22.46,20171017201529,20171017211245,0.95,51
409-FK,20171019,11,1,23.8,20171019061053,20171019073231,1.36,83
409-FK,20171019,11,0,23.36,20171019073736,20171019085247,1.25,76
409-FK,20171019,11,1,23.01,20171019091449,20171019101938,1.08,62
409-FK,20171019,11,0,23.73,20171019152228,20171019163453,1.21,73
409-FK,20171019,11,1,22.71,20171019165953,20171019180835,1.15,70
409-FK,20171019,11,0,21.56,20171019184244,20171019201043,1.47,69
409-FK,20171019,11,1,21.79,20171019201346,20171019210935,0.93,55
409-FK,20171020,11,1,23.29,20171020061038,20171020072832,1.3,79
409-FK,20171020,11,0,23.14,20171020073756,20171020085442,1.28,78
409-FK,20171020,11,1,22.98,20171020091545,20171020101844,1.05,63
409-FK,20171020,0右,0,3.36,20171020101947,20171020120942,1.83,30
409-FK,20171020,0左,1,1.25,20171020121043,20171020121528,0.08,6
409-FK,20171020,0左,0,0,20171020121628,20171020121628,0,1
409-FK,20171020,0左,1,0,20171020121730,20171020121730,0,1
409-FK,20171020,0左,0,0,20171020121830,20171020121830,0,1
409-FK,20171020,0左,1,0.4,20171020121951,20171020122135,0.03,3
409-FK,20171020,0左,0,0,20171020122253,20171020122314,0.01,2
409-FK,20171020,0左,1,0.08,20171020122435,20171020122524,0.01,2
409-FK,20171020,0左,0,0,20171020122645,20171020122645,0,1
409-FK,20171020,0左,1,1.3,20171020122735,20171020123243,0.09,6
409-FK,20171020,0左,0,0,20171020123339,20171020123339,0,1
409-FK,20171020,0左,1,0.26,20171020123440,20171020123542,0.02,2
409-FK,20171020,0左,0,0,20171020123642,20171020123642,0,1
409-FK,20171020,0左,1,0,20171020123745,20171020123745,0,1
409-FK,20171020,0左,0,0.37,20171020123844,20171020124045,0.03,3
409-FK,20171020,0左,1,0,20171020124145,20171020124145,0,1
409-FK,20171020,0左,0,0,20171020124226,20171020124226,0,1
409-FK,20171020,0左,1,0.74,20171020124346,20171020124628,0.05,4
409-FK,20171020,0左,0,0,20171020124730,20171020124730,0,1
409-FK,20171020,0左,1,0,20171020124844,20171020124844,0,1
409-FK,20171020,0左,0,0,20171020124932,20171020124932,0,1
409-FK,20171020,0左,1,1.21,20171020125042,20171020125441,0.07,5
409-FK,20171020,11,0,23.27,20171020152248,20171020165935,1.61,74
409-FK,20171020,11,1,22.46,20171020170045,20171020181146,1.18,71
409-FK,20171020,11,0,22.84,20171020184233,20171020195736,1.25,76
409-FK,20171020,11,1,22.98,20171020201429,20171020212143,1.12,68
409-FK,20171021,11,0,26.77,20171021085844,20171021102509,1.44,88
409-FK,20171021,11,1,23.35,20171021110141,20171021121352,1.2,71
409-FK,20171021,11,0,20.69,20171021142353,20171021153039,1.11,68
409-FK,20171021,11,1,22.79,20171021155956,20171021170451,1.08,66
409-FK,20171021,11,0,13.39,20171021180227,20171021183841,0.6,37
409-FK,20171021,11,1,22.39,20171021185942,20171021201147,1.2,73
409-FK,20171021,11,0,23.41,20171021203744,20171021214652,1.15,69
409-FK,20171021,11,1,18.59,20171021215451,20171021223244,0.63,37
409-FK,20171022,11,0,23.2,20171022085731,20171022101456,1.29,78
409-FK,20171022,11,1,22.68,20171022110140,20171022120849,1.12,68
409-FK,20171022,11,0,23.36,20171022142237,20171022153316,1.18,70
409-FK,20171022,11,1,22.37,20171022155940,20171022170446,1.09,65
409-FK,20171022,11,0,22.71,20171022171754,20171022183541,1.3,79
409-FK,20171022,11,1,27.73,20171022185940,20171022202337,1.4,85
409-FK,20171022,11,0,22.42,20171022203943,20171022214449,1.09,66
409-FK,20171022,11,1,19.1,20171022215449,20171022223259,0.64,39
409-FK,20171023,11,1,23.77,20171023061157,20171023072747,1.26,77
409-FK,20171023,11,0,23.43,20171023073752,20171023085744,1.33,81
409-FK,20171023,11,1,21.71,20171023091546,20171023101841,1.05,57
409-FK,20171023,11,0,19.44,20171023152344,20171023162814,1.08,64
409-FK,20171023,11,1,23.09,20171023170037,20171023180841,1.13,69
409-FK,20171023,11,0,22.41,20171023184247,20171023194549,1.05,61
409-FK,20171023,11,1,22.86,20171023201440,20171023212045,1.1,66
409-FK,20171024,11,1,23.67,20171024060934,20171024072244,1.22,74
409-FK,20171024,11,0,23.27,20171024073738,20171024085659,1.32,79
409-FK,20171024,11,1,27.22,20171024091432,20171024103635,1.37,83
409-FK,20171024,11,0,23.74,20171024152245,20171024163449,1.2,70
409-FK,20171024,11,1,23.15,20171024165955,20171024181138,1.2,73
409-FK,20171024,11,0,23.44,20171024184244,20171024194943,1.12,68
409-FK,20171024,11,1,23.03,20171024201453,20171024211952,1.08,59
409-FK,20171025,11,1,23.74,20171025061041,20171025073231,1.36,83
409-FK,20171025,11,0,21.5,20171025073840,20171025090327,1.41,78
409-FK,20171025,11,1,23.51,20171025091649,20171025102555,1.15,46
409-FK,20171025,11,0,23.69,20171025152329,20171025163443,1.19,72
409-FK,20171025,11,1,22.64,20171025165945,20171025181355,1.24,75
409-FK,20171025,11,0,22.72,20171025184346,20171025194757,1.07,65
409-FK,20171025,11,1,22.84,20171025201447,20171025212040,1.1,67
409-FK,20171026,11,1,23.8,20171026061145,20171026072644,1.25,76
409-FK,20171026,11,0,22.81,20171026073836,20171026085840,1.33,78
409-FK,20171026,11,1,24.23,20171026091521,20171026102646,1.19,72
409-FK,20171026,0左,0,0,20171026120938,20171026120938,0,1
409-FK,20171026,0左,1,0.79,20171026121051,20171026121320,0.04,4
409-FK,20171026,0左,0,0,20171026121405,20171026121405,0,1
409-FK,20171026,0左,1,0,20171026121544,20171026121544,0,1
409-FK,20171026,0左,0,0,20171026121625,20171026121625,0,1
409-FK,20171026,0左,1,0,20171026121746,20171026121746,0,1
409-FK,20171026,0左,0,0,20171026121826,20171026121826,0,1
409-FK,20171026,0左,1,0,20171026121947,20171026121947,0,1
409-FK,20171026,0左,0,0,20171026122048,20171026122048,0,1
409-FK,20171026,0左,1,1.86,20171026122148,20171026122756,0.1,7
409-FK,20171026,0左,0,0.02,20171026122856,20171026122936,0.01,2
409-FK,20171026,0左,1,0,20171026123058,20171026123058,0,1
409-FK,20171026,0左,0,0,20171026123158,20171026123158,0,1
409-FK,20171026,0左,1,0.19,20171026123239,20171026123345,0.02,2
409-FK,20171026,0左,0,0.18,20171026123440,20171026123541,0.02,2
409-FK,20171026,0左,1,0.4,20171026123642,20171026123724,0.01,2
409-FK,20171026,0左,0,0,20171026123844,20171026123844,0,1
409-FK,20171026,0左,1,0.25,20171026123957,20171026124025,0.01,2
409-FK,20171026,0左,0,0.58,20171026124126,20171026124247,0.02,2
409-FK,20171026,0左,1,0.59,20171026124348,20171026124448,0.02,2
409-FK,20171026,0左,0,0,20171026124549,20171026124549,0,1
409-FK,20171026,0左,1,0,20171026124640,20171026124640,0,1
409-FK,20171026,0左,0,0,20171026124750,20171026124750,0,1
409-FK,20171026,0左,1,1.52,20171026124851,20171026125242,0.06,5
409-FK,20171026,0左,0,0,20171026125335,20171026125335,0,1
409-FK,20171026,11,0,23,20171026152248,20171026163333,1.18,70
409-FK,20171026,11,1,21.82,20171026170048,20171026180723,1.11,67
409-FK,20171026,11,0,21.83,20171026184250,20171026194857,1.1,67
409-FK,20171026,11,1,21.07,20171026201437,20171026210524,0.85,52
409-FK,20171027,11,1,22.37,20171027061138,20171027072554,1.24,70
409-FK,20171027,11,0,22.63,20171027073927,20171027085548,1.27,76
409-FK,20171027,11,1,25.33,20171027091544,20171027103849,1.38,81
409-FK,20171027,11,0,22.94,20171027152247,20171027163543,1.22,67
409-FK,20171027,11,1,22.83,20171027165951,20171027181735,1.3,79
409-FK,20171027,11,0,22.8,20171027184441,20171027195915,1.24,76
409-FK,20171027,11,1,19.96,20171027201443,20171027211323,0.98,60
409-FK,20171028,14,0,6.93,20171028061024,20171028062845,0.31,19
409-FK,20171028,14,1,6.78,20171028063457,20171028065731,0.38,24
409-FK,20171028,14,0,6.51,20171028074056,20171028080854,0.47,29
409-FK,20171028,14,1,6.39,20171028081056,20171028083546,0.41,20
409-FK,20171028,99,0,14.25,20171028101542,20171028110141,0.77,46
409-FK,20171028,99,1,13.18,20171028111636,20171028120037,0.73,42
409-FK,20171028,99,0,14.14,20171028131622,20171028135953,0.73,44
409-FK,20171028,99,1,13.23,20171028141650,20171028150503,0.8,50
409-FK,20171028,99,0,15.27,20171028161147,20171028170348,0.87,53
409-FK,20171028,99,1,11.16,20171028171551,20171028175921,0.73,45
409-FK,20171029,11,0,26.88,20171029081248,20171029101153,1.98,72
409-FK,20171029,11,1,22.67,20171029110033,20171029121338,1.22,69
409-FK,20171029,11,0,22.19,20171029142649,20171029154138,1.25,72
409-FK,20171029,11,1,22.66,20171029160050,20171029170847,1.13,67
409-FK,20171029,11,0,22.19,20171029171852,20171029183242,1.23,75
409-FK,20171029,11,1,22.77,20171029185947,20171029200843,1.15,69
409-FK,20171029,11,0,23.15,20171029203754,20171029214439,1.11,67
409-FK,20171029,11,1,17.74,20171029215445,20171029222903,0.57,36
409-FK,20171030,11,1,23.81,20171030061052,20171030073356,1.38,84
409-FK,20171030,11,0,22.54,20171030074040,20171030085453,1.24,72
409-FK,20171030,11,1,25.74,20171030091542,20171030103253,1.29,78
409-FK,20171030,0左,1,1.89,20171030121035,20171030121742,0.12,8
409-FK,20171030,0左,0,1.16,20171030121802,20171030122145,0.06,4
409-FK,20171030,0左,1,0.19,20171030122246,20171030122346,0.02,2
409-FK,20171030,0左,0,0,20171030122447,20171030122447,0,1
409-FK,20171030,0左,1,0.5,20171030122548,20171030122644,0.02,2
409-FK,20171030,0左,0,0.16,20171030122730,20171030122851,0.02,2
409-FK,20171030,0左,1,0.48,20171030122952,20171030123147,0.03,3
409-FK,20171030,0左,0,0.03,20171030123255,20171030123315,0.01,2
409-FK,20171030,0左,1,0.5,20171030123551,20171030123750,0.03,3
409-FK,20171030,0左,0,0,20171030123840,20171030123840,0,1
409-FK,20171030,0左,1,0,20171030123940,20171030123940,0,1
409-FK,20171030,0左,0,0,20171030124041,20171030124041,0,1
409-FK,20171030,0左,1,0,20171030124142,20171030124142,0,1
409-FK,20171030,0左,0,0.63,20171030124244,20171030124445,0.03,3
409-FK,20171030,0左,1,0.19,20171030124546,20171030124647,0.02,2
409-FK,20171030,0左,0,0.36,20171030124748,20171030124848,0.02,2
409-FK,20171030,0左,1,0,20171030124949,20171030124949,0,1
409-FK,20171030,0左,0,0.05,20171030125030,20171030125131,0.02,2
409-FK,20171030,0左,1,0,20171030125246,20171030125246,0,1
409-FK,20171030,0左,0,0,20171030125353,20171030125353,0,1
409-FK,20171030,0左,1,0,20171030125453,20171030125453,0,1
